region,harvest,site,treatment,trap no,unique_trap_no,habitat,model type,predation,predation_2
west,Post-harvest,DF,Cropped,1,1,Remnant,Scented,No predation,0
west,Post-harvest,DF,Cropped,1,1,Remnant,Unscented,No predation,0
west,Pre-harvest,DF,Cropped,1,1,Remnant,Scented,No predation,0
west,Pre-harvest,DF,Cropped,1,1,Remnant,Unscented,No predation,0
west,Post-harvest,DF,Cropped,3,2,Remnant,Scented,No predation,0
west,Post-harvest,DF,Cropped,3,2,Remnant,Unscented,No predation,0
west,Pre-harvest,DF,Cropped,3,2,Remnant,Scented,Predation,1
west,Pre-harvest,DF,Cropped,3,2,Remnant,Unscented,No predation,0
west,Post-harvest,DF,Cropped,4,3,Edge,Scented,No predation,0
west,Post-harvest,DF,Cropped,4,3,Edge,Unscented,No predation,0
west,Pre-harvest,DF,Cropped,4,3,Edge,Scented,No predation,0
west,Pre-harvest,DF,Cropped,4,3,Edge,Unscented,No predation,0
west,Post-harvest,DF,Cropped,5,4,Matrix,Scented,No predation,0
west,Post-harvest,DF,Cropped,5,4,Matrix,Unscented,No predation,0
west,Pre-harvest,DF,Cropped,5,4,Matrix,Scented,No predation,0
west,Pre-harvest,DF,Cropped,5,4,Matrix,Unscented,No predation,0
west,Post-harvest,DF,Cropped,7,5,Matrix,Scented,No predation,0
west,Post-harvest,DF,Cropped,7,5,Matrix,Unscented,No predation,0
west,Pre-harvest,DF,Cropped,7,5,Matrix,Unscented,No predation,0
west,Pre-harvest,DF,Cropped,7,5,Matrix,Scented,No predation,0
west,Post-harvest,DF,Pasture,1,6,Remnant,Scented,No predation,0
west,Post-harvest,DF,Pasture,1,6,Remnant,Unscented,No predation,0
west,Pre-harvest,DF,Pasture,1,6,Remnant,Scented,No predation,0
west,Pre-harvest,DF,Pasture,1,6,Remnant,Unscented,Predation,1
west,Post-harvest,DF,Pasture,3,7,Remnant,Scented,No predation,0
west,Post-harvest,DF,Pasture,3,7,Remnant,Unscented,No predation,0
west,Pre-harvest,DF,Pasture,3,7,Remnant,Scented,No predation,0
west,Pre-harvest,DF,Pasture,3,7,Remnant,Unscented,Predation,1
west,Post-harvest,DF,Pasture,4,8,Edge,Scented,No predation,0
